"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Calu","CALU_MOUSE","CALU_MOUSE",10,3,12,"CALU_MOUSE","O35887","CALU_MOUSE","CALU_MOUSE",10,3,12,"CALU_MOUSE","O35887","CALU"
"Cand1","CAND1_MOUSE","CAND1_MOUSE",17,6,17,"CAND1_MOUSE","Q6ZQ38","CAND1_MOUSE","CAND1_MOUSE",17,6,17,"CAND1_MOUSE","Q6ZQ38","CAND1"
"Canx","CALX_MOUSE","CALX_MOUSE",14,16,16,"CALX_MOUSE","P35564","CALX_MOUSE","CALX_MOUSE",14,16,16,"CALX_MOUSE","P35564","CANX"
"Cap1","CAP1_MOUSE","CAP1_MOUSE",10,9,16,"CAP1_MOUSE","P40124","CAP1_MOUSE","CAP1_MOUSE",10,9,16,"CAP1_MOUSE","P40124","CAP1"
"Capg","CAPG_MOUSE","CAPG_MOUSE",5,2,7,"CAPG_MOUSE","P24452","CAPG_MOUSE","CAPG_MOUSE",5,2,7,"CAPG_MOUSE","P24452","CAPG"
"Capn1","CAN1_MOUSE","CAN1_MOUSE",7,6,7,"CAN1_MOUSE","O35350","CAN1_MOUSE","CAN1_MOUSE",7,6,7,"CAN1_MOUSE","O35350","CAPN1"
"Capns1","CPNS1_MOUSE","CPNS1_MOUSE",5,1,2,"CPNS1_MOUSE","O88456","CPNS1_MOUSE","CPNS1_MOUSE",5,1,2,"CPNS1_MOUSE","O88456","CAPNS1"
"Capza1","CAZA1_MOUSE","CAZA1_MOUSE",2,2,9,"CAZA1_MOUSE","P47753","CAZA1_MOUSE","CAZA1_MOUSE",2,2,9,"CAZA1_MOUSE","P47753","CAPZA1"
"Capza2","CAZA2_MOUSE","CAZA2_MOUSE",0,1,7,"CAZA2_MOUSE","P47754","CAZA2_MOUSE","CAZA2_MOUSE",0,1,7,"CAZA2_MOUSE","P47754","CAPZA2"
"Capzb","CAPZB_MOUSE","CAPZB_MOUSE",5,3,8,"CAPZB_MOUSE","P47757","CAPZB_MOUSE","CAPZB_MOUSE",5,3,8,"CAPZB_MOUSE","P47757","CAPZB"
"Ccdc6","CCDC6_MOUSE","CCDC6_MOUSE",0,1,1,"CCDC6_MOUSE","D3YZP9","CCDC6_MOUSE","CCDC6_MOUSE",0,1,1,"CCDC6_MOUSE","D3YZP9","CCDC6"
"Cct2","TCPB_MOUSE","TCPB_MOUSE",18,10,25,"TCPB_MOUSE","P80314","TCPB_MOUSE","TCPB_MOUSE",18,10,25,"TCPB_MOUSE","P80314","CCT2"
"Cct3","TCPG_MOUSE","TCPG_MOUSE",17,12,21,"TCPG_MOUSE","P80318","TCPG_MOUSE","TCPG_MOUSE",17,12,21,"TCPG_MOUSE","P80318","CCT3"
"Cct4","TCPD_MOUSE","TCPD_MOUSE",13,10,19,"TCPD_MOUSE","P80315","TCPD_MOUSE","TCPD_MOUSE",13,10,19,"TCPD_MOUSE","P80315","CCT4"
"Cct5","TCPE_MOUSE","TCPE_MOUSE",11,12,18,"TCPE_MOUSE","P80316","TCPE_MOUSE","TCPE_MOUSE",11,12,18,"TCPE_MOUSE","P80316","CCT5"
"Cct6a","TCPZ_MOUSE","TCPZ_MOUSE",11,8,16,"TCPZ_MOUSE","P80317","TCPZ_MOUSE","TCPZ_MOUSE",11,8,16,"TCPZ_MOUSE","P80317","CCT6A"
"Cct7","TCPH_MOUSE","TCPH_MOUSE",12,9,18,"TCPH_MOUSE","P80313","TCPH_MOUSE","TCPH_MOUSE",12,9,18,"TCPH_MOUSE","P80313","CCT7"
"Cct8","TCPQ_MOUSE","TCPQ_MOUSE",15,13,26,"TCPQ_MOUSE","P42932","TCPQ_MOUSE","TCPQ_MOUSE",15,13,26,"TCPQ_MOUSE","P42932","CCT8"
"Cdc37","CDC37_MOUSE","CDC37_MOUSE",2,3,4,"CDC37_MOUSE","Q61081","CDC37_MOUSE","CDC37_MOUSE",2,3,4,"CDC37_MOUSE","Q61081","CDC37"
"Cdc42","CDC42_MOUSE","CDC42_MOUSE",6,3,4,"CDC42_MOUSE","P60766","CDC42_MOUSE","CDC42_MOUSE",6,3,4,"CDC42_MOUSE","P60766","CDC42"
"Cfl1","COF1_MOUSE","COF1_MOUSE",8,2,8,"COF1_MOUSE","P18760","COF1_MOUSE","COF1_MOUSE",8,2,8,"COF1_MOUSE","P18760","CFL1"
"Ckap4","CKAP4_MOUSE","CKAP4_MOUSE",9,10,13,"CKAP4_MOUSE","Q8BMK4","CKAP4_MOUSE","CKAP4_MOUSE",9,10,13,"CKAP4_MOUSE","Q8BMK4","CKAP4"
"Clic4","CLIC4_MOUSE","CLIC4_MOUSE",7,1,11,"CLIC4_MOUSE","Q9QYB1","CLIC4_MOUSE","CLIC4_MOUSE",7,1,11,"CLIC4_MOUSE","Q9QYB1","CLIC4"
"Cltc","CLH1_MOUSE","CLH1_MOUSE",9,5,30,"CLH1_MOUSE","Q68FD5","CLH1_MOUSE","CLH1_MOUSE",9,5,30,"CLH1_MOUSE","Q68FD5","CLTC"
"Cmpk1","KCY_MOUSE","KCY_MOUSE",2,0,4,"KCY_MOUSE","Q9DBP5","KCY_MOUSE","KCY_MOUSE",2,0,4,"KCY_MOUSE","Q9DBP5","CMPK1"
"Cmtr2","CMTR2_MOUSE","CMTR2_MOUSE",0,1,1,"CMTR2_MOUSE","Q8BWQ4","CMTR2_MOUSE","CMTR2_MOUSE",0,1,1,"CMTR2_MOUSE","Q8BWQ4","CMTR2"
"Cndp2","CNDP2_MOUSE","CNDP2_MOUSE",7,1,13,"CNDP2_MOUSE","Q9D1A2","CNDP2_MOUSE","CNDP2_MOUSE",7,1,13,"CNDP2_MOUSE","Q9D1A2","CNDP2"
"Cnpy2","CNPY2_MOUSE","CNPY2_MOUSE",3,0,2,"CNPY2_MOUSE","Q9QXT0","CNPY2_MOUSE","CNPY2_MOUSE",3,0,2,"CNPY2_MOUSE","Q9QXT0","CNPY2"
"Copa","COPA_MOUSE","COPA_MOUSE",9,5,24,"COPA_MOUSE","Q8CIE6","COPA_MOUSE","COPA_MOUSE",9,5,24,"COPA_MOUSE","Q8CIE6","COPA"
"Copb1","COPB_MOUSE","COPB_MOUSE",3,3,12,"COPB_MOUSE","Q9JIF7","COPB_MOUSE","COPB_MOUSE",3,3,12,"COPB_MOUSE","Q9JIF7","COPB1"
"Copb2","COPB2_MOUSE","COPB2_MOUSE",5,3,14,"COPB2_MOUSE","O55029","COPB2_MOUSE","COPB2_MOUSE",5,3,14,"COPB2_MOUSE","O55029","COPB2"
"Copg1","COPG1_MOUSE","COPG1_MOUSE",9,8,16,"COPG1_MOUSE","Q9QZE5","COPG1_MOUSE","COPG1_MOUSE",9,8,16,"COPG1_MOUSE","Q9QZE5","COPG1"
"Cops3","CSN3_MOUSE","CSN3_MOUSE",1,0,3,"CSN3_MOUSE","O88543","CSN3_MOUSE","CSN3_MOUSE",1,0,3,"CSN3_MOUSE","O88543","COPS3"
"Copz1","COPZ1_MOUSE","COPZ1_MOUSE",2,1,2,"COPZ1_MOUSE","P61924","COPZ1_MOUSE","COPZ1_MOUSE",2,1,2,"COPZ1_MOUSE","P61924","COPZ1"
"Creg1","CREG1_MOUSE","CREG1_MOUSE",2,0,3,"CREG1_MOUSE","O88668","CREG1_MOUSE","CREG1_MOUSE",2,0,3,"CREG1_MOUSE","O88668","CREG1"
"Creld2","CREL2_MOUSE","CREL2_MOUSE",9,2,6,"CREL2_MOUSE","Q9CYA0","CREL2_MOUSE","CREL2_MOUSE",9,2,6,"CREL2_MOUSE","Q9CYA0","CRELD2"
"Cs","CISY_MOUSE","CISY_MOUSE",1,0,4,"CISY_MOUSE","Q9CZU6","CISY_MOUSE","CISY_MOUSE",1,0,4,"CISY_MOUSE","Q9CZU6","CS"
"Cse1l","XPO2_MOUSE","XPO2_MOUSE",10,6,14,"XPO2_MOUSE","Q9ERK4","XPO2_MOUSE","XPO2_MOUSE",10,6,14,"XPO2_MOUSE","Q9ERK4","CSE1L"
"Csrp1","CSRP1_MOUSE","CSRP1_MOUSE",3,0,2,"CSRP1_MOUSE","P97315","CSRP1_MOUSE","CSRP1_MOUSE",3,0,2,"CSRP1_MOUSE","P97315","CSRP1"
"Cstb","CYTB_MOUSE","CYTB_MOUSE",3,0,4,"CYTB_MOUSE","Q62426","CYTB_MOUSE","CYTB_MOUSE",3,0,4,"CYTB_MOUSE","Q62426","CSTB"
"Ctsb","CATB_MOUSE","CATB_MOUSE",3,0,7,"CATB_MOUSE","P10605","CATB_MOUSE","CATB_MOUSE",3,0,7,"CATB_MOUSE","P10605","CTSB"
"Ctsd","CATD_MOUSE","CATD_MOUSE",1,0,3,"CATD_MOUSE","P18242","CATD_MOUSE","CATD_MOUSE",1,0,3,"CATD_MOUSE","P18242","CTSD"
"Cttn","SRC8_MOUSE","SRC8_MOUSE",0,2,2,"SRC8_MOUSE","Q60598","SRC8_MOUSE","SRC8_MOUSE",0,2,2,"SRC8_MOUSE","Q60598","CTTN"
"Cul7","CUL7_MOUSE","CUL7_MOUSE",1,0,2,"CUL7_MOUSE","Q8VE73","CUL7_MOUSE","CUL7_MOUSE",1,0,2,"CUL7_MOUSE","Q8VE73","CUL7"
"Cyb5a","CYB5_MOUSE","CYB5_MOUSE",1,0,2,"CYB5_MOUSE","P56395","CYB5_MOUSE","CYB5_MOUSE",1,0,2,"CYB5_MOUSE","P56395","CYB5A"
"Cyb5r3","NB5R3_MOUSE","NB5R3_MOUSE",8,4,6,"NB5R3_MOUSE","Q9DCN2","NB5R3_MOUSE","NB5R3_MOUSE",8,4,6,"NB5R3_MOUSE","Q9DCN2","CYB5R3"
"Dad1","DAD1_MOUSE","DAD1_MOUSE",2,0,2,"DAD1_MOUSE","P61804","DAD1_MOUSE","DAD1_MOUSE",2,0,2,"DAD1_MOUSE","P61804","DAD1"
"Dapk2","DAPK2_MOUSE","DAPK2_MOUSE",3,1,4,"DAPK2_MOUSE","Q8VDF3","DAPK2_MOUSE","DAPK2_MOUSE",3,1,4,"DAPK2_MOUSE","Q8VDF3","DAPK2"
"Dbi","ACBP_MOUSE","ACBP_MOUSE",5,2,4,"ACBP_MOUSE","P31786","ACBP_MOUSE","ACBP_MOUSE",5,2,4,"ACBP_MOUSE","P31786","DBI"
"Dctn2","DCTN2_MOUSE","DCTN2_MOUSE",1,0,3,"DCTN2_MOUSE","Q99KJ8","DCTN2_MOUSE","DCTN2_MOUSE",1,0,3,"DCTN2_MOUSE","Q99KJ8","DCTN2"
"Ddb1","DDB1_MOUSE","DDB1_MOUSE",3,3,31,"DDB1_MOUSE","Q3U1J4","DDB1_MOUSE","DDB1_MOUSE",3,3,31,"DDB1_MOUSE","Q3U1J4","DDB1"
"Ddost","OST48_MOUSE","OST48_MOUSE",10,6,11,"OST48_MOUSE","O54734","OST48_MOUSE","OST48_MOUSE",10,6,11,"OST48_MOUSE","O54734","DDOST"
"Ddt","DOPD_MOUSE","DOPD_MOUSE",1,0,1,"DOPD_MOUSE","O35215","DOPD_MOUSE","DOPD_MOUSE",1,0,1,"DOPD_MOUSE","O35215","DDT"
"Ddx3x","DDX3X_MOUSE","DDX3X_MOUSE",6,4,8,"DDX3X_MOUSE","Q62167","DDX3X_MOUSE","DDX3X_MOUSE",6,4,8,"DDX3X_MOUSE","Q62167","DDX3X"
"Degs1","DEGS1_MOUSE","DEGS1_MOUSE",1,1,2,"DEGS1_MOUSE","O09005","DEGS1_MOUSE","DEGS1_MOUSE",1,1,2,"DEGS1_MOUSE","O09005","DEGS1"
"Diaph1","DIAP1_MOUSE","DIAP1_MOUSE",2,2,0,"DIAP1_MOUSE","O08808","DIAP1_MOUSE","DIAP1_MOUSE",2,2,0,"DIAP1_MOUSE","O08808","DIAPH1"
"Dnaja1","DNJA1_MOUSE","DNJA1_MOUSE",2,0,3,"DNJA1_MOUSE","P63037","DNJA1_MOUSE","DNJA1_MOUSE",2,0,3,"DNJA1_MOUSE","P63037","DNAJA1"
"Dnajb1","DNJB1_MOUSE","DNJB1_MOUSE",4,0,6,"DNJB1_MOUSE","Q9QYJ3","DNJB1_MOUSE","DNJB1_MOUSE",4,0,6,"DNJB1_MOUSE","Q9QYJ3","DNAJB1"
"Dnajb11","DJB11_MOUSE","DJB11_MOUSE",9,9,8,"DJB11_MOUSE","Q99KV1","DJB11_MOUSE","DJB11_MOUSE",9,9,8,"DJB11_MOUSE","Q99KV1","DNAJB11"
"Dnajc3","DNJC3_MOUSE","DNJC3_MOUSE",15,10,16,"DNJC3_MOUSE","Q91YW3","DNJC3_MOUSE","DNJC3_MOUSE",15,10,16,"DNJC3_MOUSE","Q91YW3","DNAJC3"
"Dnm2","DYN2_MOUSE","DYN2_MOUSE",5,6,7,"DYN2_MOUSE","P39054","DYN2_MOUSE","DYN2_MOUSE",5,6,7,"DYN2_MOUSE","P39054","DNM2"
"Dnpep","DNPEP_MOUSE","DNPEP_MOUSE",7,2,15,"DNPEP_MOUSE","Q9Z2W0","DNPEP_MOUSE","DNPEP_MOUSE",7,2,15,"DNPEP_MOUSE","Q9Z2W0","DNPEP"
