"","EVT-24w","CTB-8w","EVT-8w","STB-8w","STR-8w"
"ARNT",0.0681564349376337,-0.195848656718429,0.447078375852987,0.253795546977851,-0.314537579544025
"ARNT2",1.2495226654504,-0.520296310563134,0.227103713312762,1.11969474256199,-0.507085205082435
"ATF1",0.445216044558912,-0.402375585975307,0.410758674204373,0.638905641376714,-0.369222665443742
"ATF2",0.484914436605807,-0.16302988397408,0.130396957250843,-0.317434650872071,-0.167484257463521
"ATF3",1.11323885587827,0.0357314143429965,0.0756570045904263,0.681165097288663,-0.536179663936666
"CDX1",0.422741613737757,-0.0871445859702079,-0.0871445859702079,-0.0871445859702079,-0.0688376085002076
"CDX2",0.0813984640387998,-0.125207743983838,-0.0334619419948711,-0.0454832144899508,0.03226009516776
"CREB1",0.167955163575807,-0.193398238121242,0.261490352700656,0.157229469200883,-0.195559579916666
"CREM",-0.681277892829442,0.744865312895397,-0.0273708920102767,0.360610441884256,-0.101056440164762
"E2F1",-0.304681229051652,0.0232590376528718,-0.06775528119916,-0.273843073165257,0.178334367272516
"E2F3",-0.220508341165673,-0.112718985653519,0.179692767530225,-0.563200483370562,0.0451827321482057
"EGR1",0.749255200996663,-0.42927298226743,-0.146488218794326,-0.062676781068179,0.0446736412941494
"EHF",0.0210523204775457,-0.0657021374957544,-0.120240478777676,1.19502348461349,-0.021958559989401
"ELF3",0.741950837811293,0.271440103484284,0.186304711497645,0.910014307198345,-0.618806809785502
"ETS1",-0.173044912353506,-0.09990714343777,-0.193230434089317,-0.252159596272813,0.281288237038264
"ETS2",0.603418970326937,0.125728954306999,0.239863736200632,-0.304813757655731,-0.421000526269889
"ETV5",0.257808594441767,0.67384788630569,-0.428355778476045,0.901910746123329,-0.143238733366199
"FEV",-0.00261653474972346,-0.0547134958682116,-0.0547134958682116,-0.0547134958682116,0.0195245418817502
"FLI1",-0.405230861790078,0.0237549278880975,-0.361639235274504,-0.417723244374993,0.457831121419268
"FOS",1.01193664601729,-0.261463702237729,0.330550858830331,0.175204142804239,-0.517445839248997
"FOSL1",0.24737689308317,0.190512798544953,-0.167334976651702,-0.154212540137257,-0.0224644862597146
