"","EVT-24w","CTB-8w","EVT-8w","STB-8w","STR-8w"
"ARNT",0.0681564349376337,-0.195848656718429,0.447078375852987,0.253795546977851,-0.314537579544025
"ARNT2",1.2495226654504,-0.520296310563134,0.227103713312762,1.11969474256199,-0.507085205082435
"ATF1",0.445216044558912,-0.402375585975307,0.410758674204373,0.638905641376714,-0.369222665443742
"BARX2",0.60558726015047,0.0470469012872765,-0.132838685392918,-0.161745910350728,-0.111834216147736
"CREB1",0.167955163575807,-0.193398238121242,0.261490352700656,0.157229469200883,-0.195559579916666
"E2F1",-0.304681229051652,0.0232590376528718,-0.06775528119916,-0.273843073165257,0.178334367272516
"E2F3",-0.220508341165673,-0.112718985653519,0.179692767530225,-0.563200483370562,0.0451827321482057
"EGR1",0.749255200996663,-0.42927298226743,-0.146488218794326,-0.062676781068179,0.0446736412941494
"ELF3",0.741950837811293,0.271440103484284,0.186304711497645,0.910014307198345,-0.618806809785502
"ELK3",0.262775901525568,-0.219979669632031,-0.103652065986409,-0.480002001217341,0.134791100712129
"ERG",-0.10079444780807,0.0186740064053599,-0.0687020885908376,-0.10079444780807,0.0520203603752984
"ETS1",-0.173044912353506,-0.09990714343777,-0.193230434089317,-0.252159596272813,0.281288237038264
"ETV4",0.607153641721353,-0.481409173122462,0.40326841065266,1.06180540082196,-0.430333920697406
"ETV5",0.257808594441767,0.67384788630569,-0.428355778476045,0.901910746123329,-0.143238733366199
"FLI1",-0.405230861790078,0.0237549278880975,-0.361639235274504,-0.417723244374993,0.457831121419268
"FOS",1.01193664601729,-0.261463702237729,0.330550858830331,0.175204142804239,-0.517445839248997
"FOXM1",-0.40047624832385,0.0379769846642735,0.0937712401385674,-0.405725669774282,0.0933318914320613
"FOXO1",0.903764134227917,-0.395553012595912,0.0360491291492528,-0.244928680098717,-0.147340417393861
"FOXO3",0.465321380269743,-0.0519439114374989,-0.000193009713102734,0.830322689496017,-0.22770989722801
"FOXO4",-0.192444891165974,0.936429618945802,-0.396853901038765,0.0820896548685264,-0.0377111387817035
"GATA2",0.548211328286498,-0.216262485839357,0.635053522571099,0.849507908750684,-0.683235073787296
