"Accession.Number","S3","S4","S5","P3","P4","P5"
"IQGA1_MOUSE",0,0,0,32,28,51
"CAND1_MOUSE",0,0,0,17,6,17
"SYEP_MOUSE",0,0,0,16,11,18
"TCPQ_MOUSE",0,0,0,15,13,26
"PFKAP_MOUSE",0,0,0,15,10,20
"CH60_MOUSE",0,0,0,11,2,13
"FERM2_MOUSE",0,0,0,10,6,14
"ITB3_MOUSE",0,0,0,9,4,9
"MK01_MOUSE",0,0,0,9,3,13
"APT_MOUSE",0,0,0,9,3,10
"RSSA_MOUSE",0,0,0,8,1,13
"PRDX1_MOUSE",0,0,0,7,6,12
"PPCE_MOUSE",0,0,0,7,3,20
"COPB2_MOUSE",0,0,0,5,3,14
"K2C8_MOUSE",0,0,0,4,4,8
"RLA0_MOUSE",0,0,0,4,2,5
"EIF3M_MOUSE",0,0,0,3,2,9
"PEPD_MOUSE",0,0,0,3,2,7
"LRC59_MOUSE",0,0,0,2,1,5
"PGM2_MOUSE",0,0,0,1,3,7
"RL13_MOUSE",0,4,0,2,0,3
"FABP5_MOUSE",0,3,0,5,0,6
"RS16_MOUSE",0,2,0,3,0,3
"RS14_MOUSE",0,2,0,3,0,3
"RACK1_MOUSE",0,0,0,5,0,14
"PSMD7_MOUSE",0,0,0,5,0,4
"MDHM_MOUSE",0,0,0,4,0,8
"MAOX_MOUSE",0,0,0,3,0,14
"PRS4_MOUSE",0,0,0,3,0,5
"RL12_MOUSE",0,0,0,2,0,5
"ILEUA_MOUSE",0,0,0,2,0,3
"NEDD4_MOUSE",0,0,0,2,0,3
"SEC13_MOUSE",0,0,0,2,0,2
"AATM_MOUSE",0,0,0,1,0,8
"PSB5_MOUSE",0,0,0,1,0,6
"CSN3_MOUSE",0,0,0,1,0,3
"PEA15_MOUSE",0,0,0,1,0,3
"PR2B1_MOUSE",0,0,0,1,0,1
"GATM_MOUSE",0,0,0,0,0,9
"SNX9_MOUSE",0,0,0,0,0,5
"PUR2_MOUSE",0,0,0,0,0,5
"CLIC1_MOUSE",0,0,0,0,0,3
"ROAA_MOUSE",0,0,0,0,0,2
"RUVB1_MOUSE",0,0,0,0,0,2
"H15_MOUSE",0,0,0,0,0,2
"CHRD1_MOUSE",0,0,0,0,0,2
"MOGS_MOUSE",0,0,0,0,0,2
"BIEA_MOUSE",0,0,0,0,0,1
"DNJA2_MOUSE",0,0,0,0,0,1
"VATD_MOUSE",1,0,0,0,0,0
"S10A8_MOUSE",1,0,0,0,0,0
"K22E_MOUSE",2,0,3,1,4,5
"ODPAT_MOUSE",1,1,0,1,1,1
"TBA1A_MOUSE",1,0,1,16,16,19
"ACBP_MOUSE",0,4,1,5,2,4
"K22O_MOUSE",3,0,0,3,4,5
"HSP74_MOUSE",1,0,0,14,13,22
"1433B_MOUSE",1,0,0,10,4,8
"IF5A1_MOUSE",1,0,0,6,1,7
"MANF_MOUSE",0,3,0,9,1,10
"EI3JB_MOUSE",0,2,0,8,1,6
"BIP_MOUSE",0,0,0,51,39,36
"GFPT1_MOUSE",0,0,0,22,24,25
"LDHA_MOUSE",0,0,0,19,14,22
"G3P_MOUSE",0,0,0,16,11,21
"ANXA5_MOUSE",0,0,0,15,9,17
"NCPR_MOUSE",0,0,0,13,12,17
"PEG10_MOUSE",0,0,0,12,10,14
"UBE2O_MOUSE",0,0,0,11,10,23
"USP9X_MOUSE",0,0,0,10,4,27
"ATPA_MOUSE",0,0,0,10,3,14
"CLH1_MOUSE",0,0,0,9,5,30
"COPA_MOUSE",0,0,0,9,5,24
"NDKB_MOUSE",0,0,0,9,1,10
"P4HA2_MOUSE",0,0,0,8,7,11
"NB5R3_MOUSE",0,0,0,8,4,6
"SC31A_MOUSE",0,0,0,8,3,5
"PSD12_MOUSE",0,0,0,8,1,11
"VIGLN_MOUSE",0,0,0,7,9,8
"GLU2B_MOUSE",0,0,0,7,8,9
"ANX11_MOUSE",0,0,0,7,5,12
"EIF3A_MOUSE",0,0,0,7,3,10
"IMA4_MOUSE",0,0,0,7,3,9
"DNPEP_MOUSE",0,0,0,7,2,15
"NUB1_MOUSE",0,0,0,6,5,4
"RAB1A_MOUSE",0,0,0,6,4,8
"DDX3X_MOUSE",0,0,0,6,4,8
"PRS6A_MOUSE",0,0,0,6,1,9
"ARF4_MOUSE",0,0,0,6,1,6
"DYN2_MOUSE",0,0,0,5,6,7
"RL4_MOUSE",0,0,0,5,4,11
"SYK_MOUSE",0,0,0,5,4,7
"SORCN_MOUSE",0,0,0,5,3,5
"SEPT2_MOUSE",0,0,0,5,2,6
"GNAI3_MOUSE",0,0,0,5,2,6
"MYL6_MOUSE",0,0,0,5,1,8
"CPNS1_MOUSE",0,0,0,5,1,2
"AT1A1_MOUSE",0,0,0,4,5,5
"RL6_MOUSE",0,0,0,4,3,5
"GTR1_MOUSE",0,0,0,4,2,5
"K2C1B_MOUSE",0,0,0,3,4,4
"PYR1_MOUSE",0,0,0,2,4,1
"CDC37_MOUSE",0,0,0,2,3,4
"IF2B1_MOUSE",0,0,0,2,1,3
"COPZ1_MOUSE",0,0,0,2,1,2
"PLAK_MOUSE",0,0,0,1,7,3
"RL3_MOUSE",0,0,0,1,1,5
"CATM_MOUSE",0,0,0,1,1,3
"RL23_MOUSE",1,3,0,2,0,3
"H2B1H_MOUSE",0,1,1,3,0,3
"RBX1_MOUSE",1,0,0,1,0,1
"RL27_MOUSE",0,3,0,3,0,3
"RL18A_MOUSE",0,2,0,4,0,4
"RS23_MOUSE",0,1,0,2,0,3
"RL17_MOUSE",0,1,0,1,0,4
"TXNL1_MOUSE",0,0,0,7,0,10
"FOXO4_MOUSE",0,0,0,7,0,8
"H2AX_MOUSE",0,0,0,6,0,3
"ANXA7_MOUSE",0,0,0,5,0,8
"PSDE_MOUSE",0,0,0,5,0,5
"UBA6_MOUSE",0,0,0,4,0,10
"RS2_MOUSE",0,0,0,4,0,8
"ANXA6_MOUSE",0,0,0,4,0,8
"RAB1B_MOUSE",0,0,0,4,0,5
"GBB2_MOUSE",0,0,0,4,0,5
"SEPT7_MOUSE",0,0,0,4,0,2
"AMRP_MOUSE",0,0,0,4,0,2
"LAMC1_MOUSE",0,0,0,3,0,18
"UPP1_MOUSE",0,0,0,3,0,7
"AK1A1_MOUSE",0,0,0,3,0,4
"TMED2_MOUSE",0,0,0,3,0,4
"RS17_MOUSE",0,0,0,3,0,4
"OTUB1_MOUSE",0,0,0,3,0,3
"ARPC3_MOUSE",0,0,0,3,0,2
"NDRG1_MOUSE",0,0,0,3,0,2
"CNPY2_MOUSE",0,0,0,3,0,2
"DIAP1_MOUSE",0,0,0,2,2,0
"NCEH1_MOUSE",0,0,0,2,1,0
"ML12B_MOUSE",0,0,0,2,0,5
"EIF3K_MOUSE",0,0,0,2,0,4
"ARPC5_MOUSE",0,0,0,2,0,3
"DNJA1_MOUSE",0,0,0,2,0,3
"VDAC2_MOUSE",0,0,0,2,0,3
"SPB6_MOUSE",0,0,0,2,0,2
"RL18_MOUSE",0,0,0,2,0,2
"PDXD1_MOUSE",0,0,0,1,2,0
"AL7A1_MOUSE",0,0,0,1,0,6
"HNRPK_MOUSE",0,0,0,1,0,5
"SPEE_MOUSE",0,0,0,1,0,4
"PP2AA_MOUSE",0,0,0,1,0,4
"SPCS1_MOUSE",0,0,0,1,0,2
"K2C72_MOUSE",0,0,0,1,0,2
"RER1_MOUSE",0,0,0,1,0,1
"FBXW8_MOUSE",0,0,0,1,0,1
"ACTBL_MOUSE",0,0,0,0,8,13
"TNPO1_MOUSE",0,0,0,0,1,3
"RS27A_MOUSE",1,2,0,0,0,3
"RALA_MOUSE",0,0,0,3,0,0
"PRDX3_MOUSE",0,0,0,2,0,0
"CNN2_MOUSE",0,0,0,2,0,0
"SAR1A_MOUSE",0,0,0,2,0,0
"COPG2_MOUSE",0,0,0,2,0,0
"PARVA_MOUSE",0,0,0,2,0,0
"API5_MOUSE",0,0,0,1,0,0
"PPM1A_MOUSE",0,0,0,1,0,0
"PTN23_MOUSE",0,0,0,1,0,0
"SCFD1_MOUSE",0,0,0,1,0,0
"ERD22_MOUSE",0,0,0,1,0,0
"DSG1B_MOUSE",0,0,0,0,2,0
"MMP11_MOUSE",0,0,0,0,2,0
"ATOH1_MOUSE",0,0,0,0,1,0
"SPART_MOUSE",0,0,0,0,1,0
"WNK2_MOUSE",0,0,0,0,1,0
"PI4KA_MOUSE",0,0,0,0,1,0
"MYO1C_MOUSE",0,0,0,0,1,0
"LAMA1_MOUSE",0,0,0,0,0,11
"LKHA4_MOUSE",0,0,0,0,0,6
"MYH11_MOUSE",0,0,0,0,0,6
"NID1_MOUSE",0,0,0,0,0,5
"AMPL_MOUSE",0,0,0,0,0,5
"ISOC1_MOUSE",0,0,0,0,0,4
"KRT85_MOUSE",0,0,0,0,0,4
"SERA_MOUSE",0,0,0,0,0,4
"GRHPR_MOUSE",0,0,0,0,0,4
"EMAL2_MOUSE",0,0,0,0,0,4
"COF2_MOUSE",0,0,0,0,0,3
"HNRPD_MOUSE",0,0,0,0,0,3
"RL32_MOUSE",0,0,0,0,0,3
"PRPS1_MOUSE",0,0,0,0,0,3
"SNX1_MOUSE",0,0,0,0,0,3
"PFKAL_MOUSE",0,0,0,0,0,3
"GVIN1_MOUSE",0,0,0,0,0,2
"SRP54_MOUSE",0,0,0,0,0,2
"DBNL_MOUSE",0,0,0,0,0,2
"NEDD8_MOUSE",0,0,0,0,0,2
"IF4E_MOUSE",0,0,0,0,0,2
"ACON_MOUSE",0,0,0,0,0,1
"IST1_MOUSE",0,0,0,0,0,1
"DDX6_MOUSE",0,0,0,0,0,1
"QCR1_MOUSE",0,0,0,0,0,1
"UB2D3_MOUSE",0,0,0,0,0,1
"PR2C3_MOUSE",0,0,0,0,0,1
"STK39_MOUSE",0,0,0,0,0,1
"GSTM7_MOUSE",0,0,0,0,0,1
"ASNA_MOUSE",0,0,0,0,0,1
"CERS2_MOUSE",0,0,0,0,0,1
"HNRH2_MOUSE",0,0,0,0,0,1
"CD9_MOUSE",0,0,0,0,0,1
"NAGK_MOUSE",0,0,0,0,0,1
"TRY2_MOUSE",2,3,0,0,0,0
"COX8A_MOUSE",2,0,0,0,0,0
"MYOME_MOUSE",1,0,0,0,0,0
"PDCD5_MOUSE",0,1,0,0,0,0
"RET4_MOUSE",0,0,3,0,0,0
"GPR98_MOUSE",0,0,2,0,0,0
"EF1A1_MOUSE",3,1,2,22,18,27
"THIO_MOUSE",3,5,0,5,4,4
"ATPB_MOUSE",2,1,0,8,3,20
"TYB10_MOUSE",2,1,0,1,2,1
"HBE_MOUSE",2,0,3,7,4,11
"PPIA_MOUSE",1,5,0,8,3,8
"H4_MOUSE",1,2,0,4,1,6
"EF2_MOUSE",1,0,0,29,30,35
"CAP1_MOUSE",1,0,0,10,9,16
"LG3BP_MOUSE",1,0,0,9,3,8
"CREL2_MOUSE",0,5,0,9,2,6
"PROF1_MOUSE",0,2,0,5,4,8
"LASP1_MOUSE",0,2,0,3,2,4
"KPYM_MOUSE",0,0,0,24,27,30
"GELS_MOUSE",0,0,0,21,19,26
"ACTC_MOUSE",0,0,0,16,13,18
"IMB1_MOUSE",0,0,0,13,13,16
"TCPD_MOUSE",0,0,0,13,10,19
"RINI_MOUSE",0,0,0,13,6,18
"UGPA_MOUSE",0,0,0,12,8,10
"ITAV_MOUSE",0,0,0,12,6,15
"TCPE_MOUSE",0,0,0,11,12,18
"XPO2_MOUSE",0,0,0,10,6,14
"WDR1_MOUSE",0,0,0,10,4,19
"GLCNE_MOUSE",0,0,0,9,9,12
"COPG1_MOUSE",0,0,0,9,8,16
"STIP1_MOUSE",0,0,0,9,2,13
"PDC6I_MOUSE",0,0,0,8,7,15
"1433G_MOUSE",0,0,0,8,6,6
"RPN2_MOUSE",0,0,0,8,5,13
"GMPPB_MOUSE",0,0,0,8,5,11
"FSCN1_MOUSE",0,0,0,8,3,13
"ACTN4_MOUSE",0,0,0,7,8,16
"RADI_MOUSE",0,0,0,7,6,5
"ARF1_MOUSE",0,0,0,7,3,7
"ARHG6_MOUSE",0,0,0,6,8,12
"SND1_MOUSE",0,0,0,6,4,17
"K1C18_MOUSE",0,0,0,6,1,11
"LDHB_MOUSE",0,0,0,6,1,9
"SYRC_MOUSE",0,0,0,5,7,7
"SYNC_MOUSE",0,0,0,5,4,13
"PCBP1_MOUSE",0,0,0,5,4,10
"CAPZB_MOUSE",0,0,0,5,3,8
"PSD13_MOUSE",0,0,0,5,2,8
"UBR4_MOUSE",0,0,0,5,2,5
"SYIC_MOUSE",0,0,0,5,2,3
"ARPC2_MOUSE",0,0,0,5,1,7
"EIF3C_MOUSE",0,0,0,4,5,7
"TKT_MOUSE",0,0,0,4,3,6
"IF2A_MOUSE",0,0,0,4,2,6
"PSA6_MOUSE",0,0,0,4,1,6
"COPB_MOUSE",0,0,0,3,3,12
"RS15A_MOUSE",0,0,0,3,1,6
"DAPK2_MOUSE",0,0,0,3,1,4
"UBP5_MOUSE",0,0,0,2,7,8
"FBN1_MOUSE",0,0,0,2,6,36
"PRDX4_MOUSE",0,0,0,2,3,6
"IPO5_MOUSE",0,0,0,2,2,16
"TPM4_MOUSE",0,0,0,2,1,5
"NACAM_MOUSE",0,0,0,2,1,4
"RL15_MOUSE",0,0,0,2,1,4
"PSA3_MOUSE",0,0,0,2,1,2
"XPO1_MOUSE",0,0,0,1,2,11
"ARPC4_MOUSE",0,0,0,1,1,7
"PA2G4_MOUSE",0,0,0,1,1,5
"XDH_MOUSE",0,0,0,1,1,3
"K1C13_MOUSE",4,3,0,4,0,6
"TEBP_MOUSE",1,1,0,4,0,4
"PRDX5_MOUSE",1,1,0,1,0,1
"S10AB_MOUSE",2,0,0,4,0,3
"RAN_MOUSE",1,0,0,6,0,6
"TMED9_MOUSE",1,0,0,4,0,6
"EIF3G_MOUSE",1,0,0,1,0,4
"SODC_MOUSE",0,4,0,1,0,4
"CSRP1_MOUSE",0,3,0,3,0,2
"RL30_MOUSE",0,2,0,3,0,2
"RL23A_MOUSE",0,2,0,1,0,3
"RS25_MOUSE",0,2,0,1,0,3
"RS19_MOUSE",0,2,0,1,0,2
"RLA2_MOUSE",0,1,0,3,0,4
"RS11_MOUSE",0,1,0,2,0,2
"NPC2_MOUSE",0,1,0,1,0,2
"TBB4B_MOUSE",0,0,2,21,0,25
"PRDX2_MOUSE",0,0,1,4,0,10
"G6PI_MOUSE",0,0,0,9,0,19
"TXND5_MOUSE",0,0,0,9,0,12
"AATC_MOUSE",0,0,0,8,0,10
"PRS6B_MOUSE",0,0,0,7,0,9
"RS4X_MOUSE",0,0,0,7,0,7
"HBBZ_MOUSE",0,0,0,6,0,9
"PAK2_MOUSE",0,0,0,5,0,9
"PSD11_MOUSE",0,0,0,5,0,8
"EFHD2_MOUSE",0,0,0,5,0,6
"GPX1_MOUSE",0,0,0,5,0,4
"GDIA_MOUSE",0,0,0,4,0,8
"PRS8_MOUSE",0,0,0,4,0,8
"ADHX_MOUSE",0,0,0,4,0,7
"EIF3F_MOUSE",0,0,0,4,0,6
"DNJB1_MOUSE",0,0,0,4,0,6
"PSB1_MOUSE",0,0,0,4,0,5
"TCTP_MOUSE",0,0,0,4,0,4
"PSMD4_MOUSE",0,0,0,4,0,3
"E41L1_MOUSE",0,0,0,3,2,0
"CATB_MOUSE",0,0,0,3,0,7
"SYWC_MOUSE",0,0,0,3,0,7
"NSF1C_MOUSE",0,0,0,3,0,6
"1433F_MOUSE",0,0,0,3,0,5
"RANG_MOUSE",0,0,0,3,0,5
"UBE2K_MOUSE",0,0,0,3,0,4
"PSB2_MOUSE",0,0,0,3,0,3
"1433S_MOUSE",0,0,0,3,0,3
"HARS1_MOUSE",0,0,0,3,0,1
"C1QT1_MOUSE",0,0,0,2,1,0
"FILA2_MOUSE",0,0,0,2,1,0
"IDHC_MOUSE",0,0,0,2,0,13
"ACTZ_MOUSE",0,0,0,2,0,6
"FRIH_MOUSE",0,0,0,2,0,4
"UBE2N_MOUSE",0,0,0,2,0,4
"PSB6_MOUSE",0,0,0,2,0,3
"NUDC_MOUSE",0,0,0,2,0,3
"PSMD8_MOUSE",0,0,0,2,0,3
"ADT2_MOUSE",0,0,0,2,0,3
"VAT1_MOUSE",0,0,0,2,0,2
"GNPI1_MOUSE",0,0,0,2,0,2
"MESD_MOUSE",0,0,0,2,0,2
"ZWINT_MOUSE",0,0,0,2,0,2
"KAP0_MOUSE",0,0,0,2,0,1
"VTA1_MOUSE",0,0,0,2,0,1
"ASAP2_MOUSE",0,0,0,1,1,0
"ITB1_MOUSE",0,0,0,1,0,6
"IPYR_MOUSE",0,0,0,1,0,5
"UGDH_MOUSE",0,0,0,1,0,5
"ERF1_MOUSE",0,0,0,1,0,4
"CISY_MOUSE",0,0,0,1,0,4
"PP1A_MOUSE",0,0,0,1,0,4
"RL10_MOUSE",0,0,0,1,0,4
"CATD_MOUSE",0,0,0,1,0,3
"DCTN2_MOUSE",0,0,0,1,0,3
"MP2K1_MOUSE",0,0,0,1,0,3
"RS18_MOUSE",0,0,0,1,0,3
"H12_MOUSE",0,0,0,1,0,2
"MARE1_MOUSE",0,0,0,1,0,2
"RAB7A_MOUSE",0,0,0,1,0,2
"ECHA_MOUSE",0,0,0,1,0,2
"VATB2_MOUSE",0,0,0,1,0,1
"UCHL3_MOUSE",0,0,0,1,0,1
"ACTN1_MOUSE",0,0,0,0,6,13
"CAZA2_MOUSE",0,0,0,0,1,7
"LYZ2_MOUSE",0,0,0,0,1,1
"CRYAB_MOUSE",3,0,0,0,0,4
"KAD2_MOUSE",1,0,0,2,0,0
"BLVRB_MOUSE",1,0,0,1,0,0
"PEBP1_MOUSE",0,1,0,5,0,0
"CHSP1_MOUSE",0,1,0,0,0,2
"CALL3_MOUSE",0,0,0,5,0,0
"TRFE_MOUSE",0,0,0,3,0,0
"PARK7_MOUSE",0,0,0,2,0,0
"6PGL_MOUSE",0,0,0,2,0,0
"TMED5_MOUSE",0,0,0,2,0,0
"PSA_MOUSE",0,0,0,1,0,0
"PR8A9_MOUSE",0,0,0,1,0,0
"UAP1L_MOUSE",0,0,0,1,0,0
"TWF1_MOUSE",0,0,0,1,0,0
"PP2AB_MOUSE",0,0,0,1,0,0
"LZIC_MOUSE",0,0,0,1,0,0
"TXD12_MOUSE",0,0,0,1,0,0
"ANGP2_MOUSE",0,0,0,1,0,0
"ELOB_MOUSE",0,0,0,1,0,0
"AP1S1_MOUSE",0,0,0,1,0,0
"TM14C_MOUSE",0,0,0,1,0,0
"PP6R3_MOUSE",0,0,0,1,0,0
"CC190_MOUSE",0,0,0,1,0,0
"OXSR1_MOUSE",0,0,0,1,0,0
"EPCR_MOUSE",0,0,0,1,0,0
"GMFB_MOUSE",0,0,0,1,0,0
"CK5P3_MOUSE",0,0,0,1,0,0
"TFR1_MOUSE",0,0,0,0,2,0
"PLAP_MOUSE",0,0,0,0,2,0
"KPYR_MOUSE",0,0,0,0,2,0
"RET1_MOUSE",0,0,0,0,1,0
"SNX2_MOUSE",0,0,0,0,1,0
"CAN2_MOUSE",0,0,0,0,1,0
"IF4B_MOUSE",0,0,0,0,1,0
"YKT6_MOUSE",0,0,0,0,1,0
"CARM1_MOUSE",0,0,0,0,1,0
"DESM_MOUSE",0,0,0,0,0,18
"K1C19_MOUSE",0,0,0,0,0,8
"TTL12_MOUSE",0,0,0,0,0,7
"IDHP_MOUSE",0,0,0,0,0,7
"DPYL2_MOUSE",0,0,0,0,0,5
