ProteinID,Accession.New,,,,,
Q91VB8,Q91VB8_MOUSE,,,,,
A8DUK4,A8DUK4_MOUSE,,,,,
G5E899,G5E899_MOUSE,,,,,
A0A087WR50,A0A087WR50_MOUSE,,,,,
P20029,BIP_MOUSE,,,,,
Q80X90,FLNB_MOUSE,,,,,
P09103,PDIA1_MOUSE,,,,,
P60710,ACTB_MOUSE,,,,,
Q9JHK0,PR2A1_MOUSE,,,,,
P31001,DESM_MOUSE,,,,,
P27773,PDIA3_MOUSE,,,,,
P02772,FETA_MOUSE,,,,,
P05064,ALDOA_MOUSE,,,,,
P14211,CALR_MOUSE,,,,,
P57780,ACTN4_MOUSE,,,,,
B7FAU9,B7FAU9_MOUSE,,,,,
Q9DAV5,Q9DAV5_MOUSE,,,,,
P63017,HSP7C_MOUSE,,,,,
P11499,HS90B_MOUSE,,,,,
Q8VDD5,MYH9_MOUSE,,,,,
P26041,MOES_MOUSE,,,,,
P11679,K2C8_MOUSE,,,,,
P17742,PPIA_MOUSE,,,,,
P13020,GELS_MOUSE,,,,,
Q64727,VINC_MOUSE,,,,,
P05784,K1C18_MOUSE,,,,,
P16546,SPTN1_MOUSE,,,,,
P00920,CAH2_MOUSE,,,,,
Q3UKK2,CEAM5_MOUSE,,,,,
P08113,ENPL_MOUSE,,,,,
Q9QXS1,PLEC_MOUSE,,,,,
P10493,NID1_MOUSE,,,,,
P62259,1433E_MOUSE,,,,,
P02104,HBE_MOUSE,,,,,
Q01853,TERA_MOUSE,,,,,
A0A1B0GSX0,A0A1B0GSX0_MOUSE,,,,,
F8VQJ3,F8VQJ3_MOUSE,,,,,
Q04998,INHBA_MOUSE,,,,,
P52480,KPYM_MOUSE,,,,,
P58252,EF2_MOUSE,,,,,
A0A1L1SSH9,A0A1L1SSH9_MOUSE,,,,,
P26039,TLN1_MOUSE,,,,,
P20152,VIME_MOUSE,,,,,
P09586,PR3B1_MOUSE,,,,,
Q68FD5,CLH1_MOUSE,,,,,
P10605,CATB_MOUSE,,,,,
Q921I1,TRFE_MOUSE,,,,,
E9QN70,E9QN70_MOUSE,,,,,
E9PZ00,E9PZ00_MOUSE,,,,,
P06467,HBAZ_MOUSE,,,,,
A0A0R4J0A4,A0A0R4J0A4_MOUSE,,,,,
P19137,LAMA1_MOUSE,,,,,
P04095,PR2C2_MOUSE,,,,,
A0A1D5RLD8,A0A1D5RLD8_MOUSE,,,,,
P28654,PGS2_MOUSE,,,,,
P35700,PRDX1_MOUSE,,,,,
