"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"IF4H_MOUSE",0,2,0,1,0,0,"Q9WUK2","IF4H_MOUSE","Eif4h"
"IF5_MOUSE",0,0,0,1,0,3,"P59325","IF5_MOUSE","Eif5"
"IF5A1_MOUSE",1,0,0,6,1,7,"P63242","IF5A1_MOUSE","Eif5a"
"ILEUA_MOUSE",0,0,0,2,0,3,"Q9D154","ILEUA_MOUSE","Serpinb1a"
"IMA4_MOUSE",0,0,0,7,3,9,"O35344","IMA4_MOUSE","Kpna3"
"IMB1_MOUSE",0,0,0,13,13,16,"P70168","IMB1_MOUSE","Kpnb1"
"INF2_MOUSE",0,0,0,0,1,1,"Q0GNC1","INF2_MOUSE","Inf2"
"IPO5_MOUSE",0,0,0,2,2,16,"Q8BKC5","IPO5_MOUSE","Ipo5"
"IPO9_MOUSE",0,0,0,3,1,5,"Q91YE6","IPO9_MOUSE","Ipo9"
"IPYR_MOUSE",0,0,0,1,0,5,"Q9D819","IPYR_MOUSE","Ppa1"
"IQGA1_MOUSE",0,0,0,32,28,51,"Q9JKF1","IQGA1_MOUSE","Iqgap1"
"ITAV_MOUSE",0,0,0,12,6,15,"P43406","ITAV_MOUSE","Itgav"
"ITB1_MOUSE",0,0,0,1,0,6,"P09055","ITB1_MOUSE","Itgb1"
"ITB3_MOUSE",0,0,0,9,4,9,"O54890","ITB3_MOUSE","Itgb3"
"JUPI2_MOUSE",1,1,0,0,0,0,"Q6PGH2","JUPI2_MOUSE","Jpt2"
"K1C10_MOUSE",6,3,4,5,4,11,"P02535","K1C10_MOUSE","Krt10"
"K1C13_MOUSE",4,3,0,4,0,6,"P08730","K1C13_MOUSE","Krt13"
"K1C14_MOUSE",0,0,0,2,9,6,"Q61781","K1C14_MOUSE","Krt14"
"K1C17_MOUSE",3,4,0,0,7,0,"Q9QWL7","K1C17_MOUSE","Krt17"
"K1C18_MOUSE",0,0,0,6,1,11,"P05784","K1C18_MOUSE","Krt18"
"K1C42_MOUSE",0,4,0,2,6,6,"Q6IFX2","K1C42_MOUSE","Krt42"
"K22E_MOUSE",2,0,3,1,4,5,"Q3TTY5","K22E_MOUSE","Krt2"
"K22O_MOUSE",3,0,0,3,4,5,"Q3UV17","K22O_MOUSE","Krt76"
"K2C1_MOUSE",4,4,8,3,4,7,"P04104","K2C1_MOUSE","Krt1"
"K2C1B_MOUSE",0,0,0,3,4,4,"Q6IFZ6","K2C1B_MOUSE","Krt77"
"K2C5_MOUSE",4,4,0,3,7,5,"Q922U2","K2C5_MOUSE","Krt5"
"K2C6A_MOUSE",4,4,0,3,0,4,"P50446","K2C6A_MOUSE","Krt6a"
"K2C72_MOUSE",0,0,0,1,0,2,"Q6IME9","K2C72_MOUSE","Krt72"
"K2C73_MOUSE",3,3,6,0,4,4,"Q6NXH9","K2C73_MOUSE","Krt73"
"K2C75_MOUSE",0,0,6,3,6,0,"Q8BGZ7","K2C75_MOUSE","Krt75"
"K2C79_MOUSE",0,0,0,0,3,1,"Q8VED5","K2C79_MOUSE","Krt79"
"K2C8_MOUSE",0,0,0,4,4,8,"P11679","K2C8_MOUSE","Krt8"
"KAP0_MOUSE",0,0,0,2,0,1,"Q9DBC7","KAP0_MOUSE","Prkar1a"
"KCY_MOUSE",0,0,0,2,0,4,"Q9DBP5","KCY_MOUSE","Cmpk1"
"KINH_MOUSE",0,0,0,2,1,2,"Q61768","KINH_MOUSE","Kif5b"
"KPYM_MOUSE",0,0,0,24,27,30,"P52480","KPYM_MOUSE","Pkm"
"LAMC1_MOUSE",0,0,0,3,0,18,"P02468","LAMC1_MOUSE","Lamc1"
"LASP1_MOUSE",0,2,0,3,2,4,"Q61792","LASP1_MOUSE","Lasp1"
"LDHA_MOUSE",0,0,0,19,14,22,"P06151","LDHA_MOUSE","Ldha"
"LDHB_MOUSE",0,0,0,6,1,9,"P16125","LDHB_MOUSE","Ldhb"
"LEG1_MOUSE",3,6,1,6,6,6,"P16045","LEG1_MOUSE","Lgals1"
"LEG3_MOUSE",1,4,0,5,0,6,"P16110","LEG3_MOUSE","Lgals3"
"LEG9_MOUSE",1,0,0,7,2,6,"O08573","LEG9_MOUSE","Lgals9"
"LG3BP_MOUSE",1,0,0,9,3,8,"Q07797","LG3BP_MOUSE","Lgals3bp"
"LIS1_MOUSE",0,0,0,4,1,6,"P63005","LIS1_MOUSE","Pafah1b1"
"LMAN1_MOUSE",0,0,0,3,2,6,"Q9D0F3","LMAN1_MOUSE","Lman1"
"LMAN2_MOUSE",0,0,0,7,3,9,"Q9DBH5","LMAN2_MOUSE","Lman2"
"LRC59_MOUSE",0,0,0,2,1,5,"Q922Q8","LRC59_MOUSE","Lrrc59"
"LRRF1_MOUSE",0,0,0,1,1,0,"Q3UZ39","LRRF1_MOUSE","Lrrfip1"
"LYZ1_MOUSE",0,0,0,0,1,1,"P17897","LYZ1_MOUSE","Lyz1"
"LYZ2_MOUSE",0,0,0,0,1,1,"P08905","LYZ2_MOUSE","Lyz2"
"MAGD1_MOUSE",0,0,0,1,2,1,"Q9QYH6","MAGD1_MOUSE","Maged1"
"MAGI1_MOUSE",1,0,0,0,1,0,"Q6RHR9","MAGI1_MOUSE","Magi1"
"MANF_MOUSE",0,3,0,9,1,10,"Q9CXI5","MANF_MOUSE","Manf"
"MAOX_MOUSE",0,0,0,3,0,14,"P06801","MAOX_MOUSE","Me1"
"MAP4_MOUSE",0,0,0,1,0,1,"P27546","MAP4_MOUSE","Map4"
"MARE1_MOUSE",0,0,0,1,0,2,"Q61166","MARE1_MOUSE","Mapre1"
"MCFD2_MOUSE",0,0,0,1,0,1,"Q8K5B2","MCFD2_MOUSE","Mcfd2"
"MDHC_MOUSE",0,0,0,8,1,8,"P14152","MDHC_MOUSE","Mdh1"
"MDHM_MOUSE",0,0,0,4,0,8,"P08249","MDHM_MOUSE","Mdh2"
"MESD_MOUSE",0,0,0,2,0,2,"Q9ERE7","MESD_MOUSE","Mesd"
"MIF_MOUSE",0,2,0,4,0,2,"P34884","MIF_MOUSE","Mif"
"MK01_MOUSE",0,0,0,9,3,13,"P63085","MK01_MOUSE","Mapk1"
"ML12B_MOUSE",0,0,0,2,0,5,"Q3THE2","ML12B_MOUSE","Myl12b"
"MLEC_MOUSE",0,0,0,3,1,4,"Q6ZQI3","MLEC_MOUSE","Mlec"
"MORC3_MOUSE",0,0,0,1,1,1,"F7BJB9","MORC3_MOUSE","Morc3"
"MP2K1_MOUSE",0,0,0,1,0,3,"P31938","MP2K1_MOUSE","Map2k1"
"MPCP_MOUSE",0,0,0,2,1,4,"Q8VEM8","MPCP_MOUSE","Slc25a3"
"MTAP_MOUSE",0,0,0,2,0,1,"Q9CQ65","MTAP_MOUSE","Mtap"
"MTPN_MOUSE",0,1,1,1,0,2,"P62774","MTPN_MOUSE","Mtpn"
"MVP_MOUSE",0,0,0,5,6,20,"Q9EQK5","MVP_MOUSE","Mvp"
"MYH9_MOUSE",0,0,0,22,20,43,"Q8VDD5","MYH9_MOUSE","Myh9"
"MYL6_MOUSE",0,0,0,5,1,8,"Q60605","MYL6_MOUSE","Myl6"
"NACA_MOUSE",0,0,0,2,1,0,"Q60817","NACA_MOUSE","Naca"
"NACAM_MOUSE",0,0,0,2,1,4,"P70670","NACAM_MOUSE","Naca"
"NB5R3_MOUSE",0,0,0,8,4,6,"Q9DCN2","NB5R3_MOUSE","Cyb5r3"
"NCEH1_MOUSE",0,0,0,2,1,0,"Q8BLF1","NCEH1_MOUSE","Nceh1"
"NCPR_MOUSE",0,0,0,13,12,17,"P37040","NCPR_MOUSE","Por"
"NDKA_MOUSE",0,0,0,8,1,11,"P15532","NDKA_MOUSE","Nme1"
"NDKB_MOUSE",0,0,0,9,1,10,"Q01768","NDKB_MOUSE","Nme2"
"NDRG1_MOUSE",0,0,0,3,0,2,"Q62433","NDRG1_MOUSE","Ndrg1"
"NEDD4_MOUSE",0,0,0,2,0,3,"P46935","NEDD4_MOUSE","Nedd4"
"NP1L1_MOUSE",0,0,0,4,0,6,"P28656","NP1L1_MOUSE","Nap1l1"
"NP1L4_MOUSE",0,0,0,6,0,8,"Q78ZA7","NP1L4_MOUSE","Nap1l4"
"NPC2_MOUSE",0,1,0,1,0,2,"Q9Z0J0","NPC2_MOUSE","Npc2"
"NSF1C_MOUSE",0,0,0,3,0,6,"Q9CZ44","NSF1C_MOUSE","Nsfl1c"
"NUB1_MOUSE",0,0,0,6,5,4,"P54729","NUB1_MOUSE","Nub1"
"NUCB2_MOUSE",0,0,0,5,0,1,"P81117","NUCB2_MOUSE","Nucb2"
"NUDC_MOUSE",0,0,0,2,0,3,"O35685","NUDC_MOUSE","Nudc"
"OBSL1_MOUSE",0,0,0,1,1,3,"D3YYU8","OBSL1_MOUSE","Obsl1"
"ODPAT_MOUSE",1,1,0,1,1,1,"P35487","ODPAT_MOUSE","Pdha2"
"OLA1_MOUSE",0,0,0,2,0,5,"Q9CZ30","OLA1_MOUSE","Ola1"
"OSBP1_MOUSE",0,0,0,3,0,3,"Q3B7Z2","OSBP1_MOUSE","Osbp"
"OST48_MOUSE",0,0,0,10,6,11,"O54734","OST48_MOUSE","Ddost"
"OSTC_MOUSE",0,0,0,0,1,1,"Q78XF5","OSTC_MOUSE","Ostc"
"OSTF1_MOUSE",0,0,0,3,0,4,"Q62422","OSTF1_MOUSE","Ostf1"
"OTUB1_MOUSE",0,0,0,3,0,3,"Q7TQI3","OTUB1_MOUSE","Otub1"
"P4HA1_MOUSE",0,0,0,12,6,13,"Q60715","P4HA1_MOUSE","P4ha1"
"P4HA2_MOUSE",0,0,0,8,7,11,"Q60716","P4HA2_MOUSE","P4ha2"
"PA1B2_MOUSE",0,0,0,1,0,4,"Q61206","PA1B2_MOUSE","Pafah1b2"
"PA1B3_MOUSE",0,0,0,1,0,1,"Q61205","PA1B3_MOUSE","Pafah1b3"
"PA2G4_MOUSE",0,0,0,1,1,5,"P50580","PA2G4_MOUSE","Pa2g4"
"PABP1_MOUSE",0,0,0,3,0,6,"P29341","PABP1_MOUSE","Pabpc1"
"PAIRB_MOUSE",0,0,0,1,0,2,"Q9CY58","PAIRB_MOUSE","Serbp1"
"PAK2_MOUSE",0,0,0,5,0,9,"Q8CIN4","PAK2_MOUSE","Pak2"
"PCBP1_MOUSE",0,0,0,5,4,10,"P60335","PCBP1_MOUSE","Pcbp1"
"PCBP2_MOUSE",1,0,0,2,0,2,"Q61990","PCBP2_MOUSE","Pcbp2"
"PCBP3_MOUSE",0,0,0,2,0,2,"P57722","PCBP3_MOUSE","Pcbp3"
"PDC6I_MOUSE",0,0,0,8,7,15,"Q9WU78","PDC6I_MOUSE","Pdcd6ip"
"PDIA1_MOUSE",0,1,0,36,30,29,"P09103","PDIA1_MOUSE","P4hb"
"PDIA3_MOUSE",0,0,0,37,26,34,"P27773","PDIA3_MOUSE","Pdia3"
"PDIA4_MOUSE",0,0,0,24,26,18,"P08003","PDIA4_MOUSE","Pdia4"
"PDIA5_MOUSE",0,0,0,9,3,10,"Q921X9","PDIA5_MOUSE","Pdia5"
"PDIA6_MOUSE",1,0,0,23,12,21,"Q922R8","PDIA6_MOUSE","Pdia6"
"PDLI1_MOUSE",0,9,0,12,1,13,"O70400","PDLI1_MOUSE","Pdlim1"
"PDXD1_MOUSE",0,0,0,1,2,0,"Q99K01","PDXD1_MOUSE","Pdxdc1"
"PEA15_MOUSE",0,0,0,1,0,3,"Q62048","PEA15_MOUSE","Pea15"
"PEBP1_MOUSE",0,1,0,5,0,0,"P70296","PEBP1_MOUSE","Pebp1"
"PEG10_MOUSE",0,0,0,12,10,14,"Q7TN75","PEG10_MOUSE","Peg10"
"PEPD_MOUSE",0,0,0,3,2,7,"Q11136","PEPD_MOUSE","Pepd"
"PFKAP_MOUSE",0,0,0,15,10,20,"Q9WUA3","PFKAP_MOUSE","Pfkp"
"PGAM1_MOUSE",0,0,0,8,2,10,"Q9DBJ1","PGAM1_MOUSE","Pgam1"
"PGK1_MOUSE",0,0,1,13,2,18,"P09411","PGK1_MOUSE","Pgk1"
"PGM1_MOUSE",0,0,0,7,4,11,"Q9D0F9","PGM1_MOUSE","Pgm1"
"PGM2_MOUSE",0,0,0,1,3,7,"Q7TSV4","PGM2_MOUSE","Pgm2"
"PLAC8_MOUSE",0,0,0,1,1,2,"Q9JI48","PLAC8_MOUSE","Plac8"
"PLAK_MOUSE",0,0,0,1,7,3,"Q02257","PLAK_MOUSE","Jup"
"PLCH1_MOUSE",0,0,0,1,0,1,"Q4KWH5","PLCH1_MOUSE","Plch1"
"PLIN3_MOUSE",0,0,0,9,5,10,"Q9DBG5","PLIN3_MOUSE","Plin3"
"PLSL_MOUSE",0,0,0,14,2,26,"Q61233","PLSL_MOUSE","Lcp1"
"PNPH_MOUSE",0,0,0,4,0,7,"P23492","PNPH_MOUSE","Pnp"
"PP1A_MOUSE",0,0,0,1,0,4,"P62137","PP1A_MOUSE","Ppp1ca"
"PP2AA_MOUSE",0,0,0,1,0,4,"P63330","PP2AA_MOUSE","Ppp2ca"
"PPCE_MOUSE",0,0,0,7,3,20,"Q9QUR6","PPCE_MOUSE","Prep"
"PPIA_MOUSE",1,5,0,8,3,8,"P17742","PPIA_MOUSE","Ppia"
"PPIB_MOUSE",0,0,0,11,6,12,"P24369","PPIB_MOUSE","Ppib"
"PPIC_MOUSE",0,0,0,1,0,1,"P30412","PPIC_MOUSE","Ppic"
"PR2B1_MOUSE",0,0,0,1,0,1,"Q9DAZ2","PR2B1_MOUSE","Prl2b1"
"PR2C5_MOUSE",0,0,0,1,1,1,"Q9JLV9","PR2C5_MOUSE","Prl2c5"
"PR3B1_MOUSE",0,0,0,3,0,5,"P09586","PR3B1_MOUSE","Prl3b1"
"PR7A2_MOUSE",0,0,0,6,3,5,"O54831","PR7A2_MOUSE","Prl7a2"
"PRDX1_MOUSE",0,0,0,7,6,12,"P35700","PRDX1_MOUSE","Prdx1"
"PRDX2_MOUSE",0,0,1,4,0,10,"Q61171","PRDX2_MOUSE","Prdx2"
"PRDX4_MOUSE",0,0,0,2,3,6,"O08807","PRDX4_MOUSE","Prdx4"
"PRDX5_MOUSE",1,1,0,1,0,1,"P99029","PRDX5_MOUSE","Prdx5"
"PRDX6_MOUSE",0,0,0,2,0,8,"O08709","PRDX6_MOUSE","Prdx6"
"PROF1_MOUSE",0,2,0,5,4,8,"P62962","PROF1_MOUSE","Pfn1"
"PRS10_MOUSE",0,0,0,2,0,7,"P62334","PRS10_MOUSE","Psmc6"
"PRS4_MOUSE",0,0,0,3,0,5,"P62192","PRS4_MOUSE","Psmc1"
"PRS6A_MOUSE",0,0,0,6,1,9,"O88685","PRS6A_MOUSE","Psmc3"
"PRS6B_MOUSE",0,0,0,7,0,9,"P54775","PRS6B_MOUSE","Psmc4"
"PRS7_MOUSE",0,0,0,5,0,9,"P46471","PRS7_MOUSE","Psmc2"
"PRS8_MOUSE",0,0,0,4,0,8,"P62196","PRS8_MOUSE","Psmc5"
"PSA1_MOUSE",0,0,0,3,0,6,"Q9R1P4","PSA1_MOUSE","Psma1"
"PSA2_MOUSE",0,0,0,2,0,4,"P49722","PSA2_MOUSE","Psma2"
"PSA3_MOUSE",0,0,0,2,1,2,"O70435","PSA3_MOUSE","Psma3"
"PSA4_MOUSE",0,0,0,3,0,5,"Q9R1P0","PSA4_MOUSE","Psma4"
"PSA5_MOUSE",0,0,0,3,0,8,"Q9Z2U1","PSA5_MOUSE","Psma5"
"PSA6_MOUSE",0,0,0,4,1,6,"Q9QUM9","PSA6_MOUSE","Psma6"
"PSA7_MOUSE",0,0,0,3,0,8,"Q9Z2U0","PSA7_MOUSE","Psma7"
"PSB1_MOUSE",0,0,0,4,0,5,"O09061","PSB1_MOUSE","Psmb1"
"PSB2_MOUSE",0,0,0,3,0,3,"Q9R1P3","PSB2_MOUSE","Psmb2"
"PSB3_MOUSE",0,0,0,2,0,3,"Q9R1P1","PSB3_MOUSE","Psmb3"
"PSB4_MOUSE",0,0,0,4,0,4,"P99026","PSB4_MOUSE","Psmb4"
"PSB5_MOUSE",0,0,0,1,0,6,"O55234","PSB5_MOUSE","Psmb5"
"PSB6_MOUSE",0,0,0,2,0,3,"Q60692","PSB6_MOUSE","Psmb6"
"PSD11_MOUSE",0,0,0,5,0,8,"Q8BG32","PSD11_MOUSE","Psmd11"
"PSD12_MOUSE",0,0,0,8,1,11,"Q9D8W5","PSD12_MOUSE","Psmd12"
"PSD13_MOUSE",0,0,0,5,2,8,"Q9WVJ2","PSD13_MOUSE","Psmd13"
"PSDE_MOUSE",0,0,0,5,0,5,"O35593","PSDE_MOUSE","Psmd14"
"PSG22_MOUSE",0,0,0,3,2,3,"Q810J1","PSG22_MOUSE","Psg22"
"PSMD1_MOUSE",0,0,0,8,2,14,"Q3TXS7","PSMD1_MOUSE","Psmd1"
"PSMD2_MOUSE",0,0,0,10,7,12,"Q8VDM4","PSMD2_MOUSE","Psmd2"
"PSMD3_MOUSE",0,0,0,5,3,9,"P14685","PSMD3_MOUSE","Psmd3"
"PSMD4_MOUSE",0,0,0,4,0,3,"O35226","PSMD4_MOUSE","Psmd4"
"PSMD6_MOUSE",0,0,0,6,2,6,"Q99JI4","PSMD6_MOUSE","Psmd6"
"PSMD7_MOUSE",0,0,0,5,0,4,"P26516","PSMD7_MOUSE","Psmd7"
"PSMD8_MOUSE",0,0,0,2,0,3,"Q9CX56","PSMD8_MOUSE","Psmd8"
"PSME1_MOUSE",0,0,0,1,0,3,"P97371","PSME1_MOUSE","Psme1"
"PSME2_MOUSE",0,0,0,1,1,5,"P97372","PSME2_MOUSE","Psme2"
"PTMA_MOUSE",1,1,0,1,0,1,"P26350","PTMA_MOUSE","Ptma"
"PUR9_MOUSE",0,0,0,5,3,13,"Q9CWJ9","PUR9_MOUSE","Atic"
"PYR1_MOUSE",0,0,0,2,4,1,"B2RQC6","PYR1_MOUSE","Cad"
"QCR9_MOUSE",1,1,0,0,0,0,"Q8R1I1","QCR9_MOUSE","Uqcr10"
"RAB18_MOUSE",0,0,0,1,1,0,"P35293","RAB18_MOUSE","Rab18"
"RAB1A_MOUSE",0,0,0,6,4,8,"P62821","RAB1A_MOUSE","Rab1A"
"RAB1B_MOUSE",0,0,0,4,0,5,"Q9D1G1","RAB1B_MOUSE","Rab1b"
"RAB2A_MOUSE",0,0,0,1,2,3,"P53994","RAB2A_MOUSE","Rab2a"
"RAB7A_MOUSE",0,0,0,1,0,2,"P51150","RAB7A_MOUSE","Rab7a"
"RAC1_MOUSE",0,0,0,2,1,5,"P63001","RAC1_MOUSE","Rac1"
"RAC3_MOUSE",0,0,0,2,1,0,"P60764","RAC3_MOUSE","Rac3"
"RACK1_MOUSE",0,0,0,5,0,14,"P68040","RACK1_MOUSE","Rack1"
"RADI_MOUSE",0,0,0,7,6,5,"P26043","RADI_MOUSE","Rdx"
"RALB_MOUSE",0,0,0,3,0,3,"Q9JIW9","RALB_MOUSE","Ralb"
"RAN_MOUSE",1,0,0,6,0,6,"P62827","RAN_MOUSE","Ran"
"RANG_MOUSE",0,0,0,3,0,5,"P34022","RANG_MOUSE","Ranbp1"
"RAP1B_MOUSE",0,0,0,3,0,4,"Q99JI6","RAP1B_MOUSE","Rap1b"
"RBX1_MOUSE",1,0,0,1,0,1,"P62878","RBX1_MOUSE","Rbx1"
"RCN2_MOUSE",0,0,0,1,0,3,"Q8BP92","RCN2_MOUSE","Rcn2"
"RD23B_MOUSE",0,0,0,3,0,4,"P54728","RD23B_MOUSE","Rad23b"
"RER1_MOUSE",0,0,0,1,0,1,"Q9CQU3","RER1_MOUSE","Rer1"
"RHG01_MOUSE",0,0,0,5,0,2,"Q5FWK3","RHG01_MOUSE","Arhgap1"
"RHOA_MOUSE",0,0,0,6,5,8,"Q9QUI0","RHOA_MOUSE","Rhoa"
"RHOC_MOUSE",0,0,0,6,0,8,"Q62159","RHOC_MOUSE","Rhoc"
"RINI_MOUSE",0,0,0,13,6,18,"Q91VI7","RINI_MOUSE","Rnh1"
"RL10_MOUSE",0,0,0,1,0,4,"Q6ZWV3","RL10_MOUSE","Rpl10"
"RL10A_MOUSE",0,0,0,1,0,5,"P53026","RL10A_MOUSE","Rpl10a"
"RL11_MOUSE",2,0,0,2,1,3,"Q9CXW4","RL11_MOUSE","Rpl11"
"RL12_MOUSE",0,0,0,2,0,5,"P35979","RL12_MOUSE","Rpl12"
"RL13_MOUSE",0,4,0,2,0,3,"P47963","RL13_MOUSE","Rpl13"
"RL13A_MOUSE",0,0,0,2,0,4,"P19253","RL13A_MOUSE","Rpl13a"
"RL14_MOUSE",0,2,0,2,0,3,"Q9CR57","RL14_MOUSE","Rpl14"
"RL15_MOUSE",0,0,0,2,1,4,"Q9CZM2","RL15_MOUSE","Rpl15"
"RL17_MOUSE",0,1,0,1,0,4,"Q9CPR4","RL17_MOUSE","Rpl17"
"RL18_MOUSE",0,0,0,2,0,2,"P35980","RL18_MOUSE","Rpl18"
"RL18A_MOUSE",0,2,0,4,0,4,"P62717","RL18A_MOUSE","Rpl18a"
"RL19_MOUSE",0,0,0,1,1,1,"P84099","RL19_MOUSE","Rpl19"
"RL22L_MOUSE",0,0,0,1,0,2,"Q9D7S7","RL22L_MOUSE","Rpl22l1"
"RL23_MOUSE",1,3,0,2,0,3,"P62830","RL23_MOUSE","Rpl23"
"RL23A_MOUSE",0,2,0,1,0,3,"P62751","RL23A_MOUSE","Rpl23a"
"RL24_MOUSE",0,2,0,2,0,3,"Q8BP67","RL24_MOUSE","Rpl24"
"RL26_MOUSE",0,1,0,1,0,1,"P61255","RL26_MOUSE","Rpl26"
"RL27_MOUSE",0,3,0,3,0,3,"P61358","RL27_MOUSE","Rpl27"
"RL27A_MOUSE",0,3,0,1,0,3,"P14115","RL27A_MOUSE","Rpl27a"
"RL28_MOUSE",0,0,0,1,0,1,"P41105","RL28_MOUSE","Rpl28"
"RL3_MOUSE",0,0,0,1,1,5,"P27659","RL3_MOUSE","Rpl3"
"RL30_MOUSE",0,2,0,3,0,2,"P62889","RL30_MOUSE","Rpl30"
"RL31_MOUSE",0,1,0,1,0,1,"P62900","RL31_MOUSE","Rpl31"
"RL35A_MOUSE",0,1,0,0,0,1,"O55142","RL35A_MOUSE","Rpl35a"
"RL36_MOUSE",0,1,0,0,0,2,"P47964","RL36_MOUSE","Rpl36"
"RL37A_MOUSE",0,1,0,1,0,1,"P61514","RL37A_MOUSE","Rpl37a"
"RL38_MOUSE",0,2,0,1,0,3,"Q9JJI8","RL38_MOUSE","Rpl38"
"RL4_MOUSE",0,0,0,5,4,11,"Q9D8E6","RL4_MOUSE","Rpl4"
"RL5_MOUSE",0,0,0,3,2,5,"P47962","RL5_MOUSE","Rpl5"
"RL6_MOUSE",0,0,0,4,3,5,"P47911","RL6_MOUSE","Rpl6"
"RL7_MOUSE",0,0,0,2,0,6,"P14148","RL7_MOUSE","Rpl7"
"RL7A_MOUSE",0,1,0,4,1,7,"P12970","RL7A_MOUSE","Rpl7a"
"RL8_MOUSE",0,0,0,1,0,4,"P62918","RL8_MOUSE","Rpl8"
"RL9_MOUSE",0,0,0,4,1,4,"P51410","RL9_MOUSE","Rpl9"
"RLA0_MOUSE",0,0,0,4,2,5,"P14869","RLA0_MOUSE","Rplp0"
"RLA1_MOUSE",0,0,2,5,0,4,"P47955","RLA1_MOUSE","Rplp1"
"RLA2_MOUSE",0,1,0,3,0,4,"P99027","RLA2_MOUSE","Rplp2"
"ROA3_MOUSE",0,0,0,1,0,1,"Q8BG05","ROA3_MOUSE","Hnrnpa3"
"RPN1_MOUSE",0,0,0,12,7,18,"Q91YQ5","RPN1_MOUSE","Rpn1"
"RPN2_MOUSE",0,0,0,8,5,13,"Q9DBG6","RPN2_MOUSE","Rpn2"
"RRBP1_MOUSE",1,0,0,6,4,7,"Q99PL5","RRBP1_MOUSE","Rrbp1"
"RS10_MOUSE",0,3,0,3,0,5,"P63325","RS10_MOUSE","Rps10"
"RS11_MOUSE",0,1,0,2,0,2,"P62281","RS11_MOUSE","Rps11"
"RS12_MOUSE",0,0,0,2,1,4,"P63323","RS12_MOUSE","Rps12"
"RS13_MOUSE",0,0,0,4,0,4,"P62301","RS13_MOUSE","Rps13"
"RS14_MOUSE",0,2,0,3,0,3,"P62264","RS14_MOUSE","Rps14"
"RS15A_MOUSE",0,0,0,3,1,6,"P62245","RS15A_MOUSE","Rps15a"
"RS16_MOUSE",0,2,0,3,0,3,"P14131","RS16_MOUSE","Rps16"
"RS17_MOUSE",0,0,0,3,0,4,"P63276","RS17_MOUSE","Rps17"
"RS18_MOUSE",0,0,0,1,0,3,"P62270","RS18_MOUSE","Rps18"
"RS19_MOUSE",0,2,0,1,0,2,"Q9CZX8","RS19_MOUSE","Rps19"
"RS2_MOUSE",0,0,0,4,0,8,"P25444","RS2_MOUSE","Rps2"
"RS20_MOUSE",0,2,0,3,0,3,"P60867","RS20_MOUSE","Rps20"
"RS23_MOUSE",0,1,0,2,0,3,"P62267","RS23_MOUSE","Rps23"
"RS24_MOUSE",0,2,0,1,0,4,"P62849","RS24_MOUSE","Rps24"
"RS25_MOUSE",0,2,0,1,0,3,"P62852","RS25_MOUSE","Rps25"
"RS26_MOUSE",0,0,0,1,0,1,"P62855","RS26_MOUSE","Rps26"
"RS27A_MOUSE",1,2,0,0,0,3,"P62983","RS27A_MOUSE","Rps27a"
"RS27L_MOUSE",0,2,0,2,1,2,"Q6ZWY3","RS27L_MOUSE","Rps27l"
"RS28_MOUSE",0,1,0,0,0,1,"P62858","RS28_MOUSE","Rps28"
"RS3_MOUSE",0,0,0,7,4,10,"P62908","RS3_MOUSE","Rps3"
"RS30_MOUSE",0,1,0,1,0,1,"P62862","RS30_MOUSE","Fau"
"RS3A_MOUSE",0,0,0,3,0,8,"P97351","RS3A_MOUSE","Rps3a"
"RS4X_MOUSE",0,0,0,7,0,7,"P62702","RS4X_MOUSE","Rps4x"
"RS5_MOUSE",0,0,0,2,2,4,"P97461","RS5_MOUSE","Rps5"
"RS6_MOUSE",0,0,0,3,1,3,"P62754","RS6_MOUSE","Rps6"
"RS7_MOUSE",0,0,0,3,0,5,"P62082","RS7_MOUSE","Rps7"
"RS8_MOUSE",0,0,0,6,4,5,"P62242","RS8_MOUSE","Rps8"
"RS9_MOUSE",0,0,0,2,0,4,"Q6ZWN5","RS9_MOUSE","Rps9"
"RSSA_MOUSE",0,0,0,8,1,13,"P14206","RSSA_MOUSE","Rpsa"
"S10A6_MOUSE",4,1,0,6,4,3,"P14069","S10A6_MOUSE","S100a6"
"S10AA_MOUSE",2,1,0,0,0,0,"P08207","S10AA_MOUSE","S100a10"
"S10AB_MOUSE",2,0,0,4,0,3,"P50543","S10AB_MOUSE","S100a11"
"S61A1_MOUSE",0,0,0,2,0,2,"P61620","S61A1_MOUSE","Sec61a1"
"SC11A_MOUSE",0,0,0,1,0,1,"Q9R0P6","SC11A_MOUSE","Sec11a"
"SC22B_MOUSE",0,0,0,2,0,6,"O08547","SC22B_MOUSE","Sec22b"
"SC23B_MOUSE",0,0,0,3,0,3,"Q9D662","SC23B_MOUSE","Sec23b"
"SC31A_MOUSE",0,0,0,8,3,5,"Q3UPL0","SC31A_MOUSE","Sec31a"
"SC61G_MOUSE",0,0,0,1,0,1,"P60060","SC61G_MOUSE","Sec61g"
"SDF2L_MOUSE",0,1,0,5,0,6,"Q9ESP1","SDF2L_MOUSE","Sdf2l1"
"SEC13_MOUSE",0,0,0,2,0,2,"Q9D1M0","SEC13_MOUSE","Sec13"
"SEP11_MOUSE",0,0,0,3,0,3,"Q8C1B7","SEP11_MOUSE","Septin11"
"SEPT2_MOUSE",0,0,0,5,2,6,"P42208","SEPT2_MOUSE","Septin2"
