"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"ATOX1_MOUSE",1,3,0,2,0,0,"O08997","ATOX1_MOUSE","Atox1"
"ATPA_MOUSE",0,0,0,10,3,14,"Q03265","ATPA_MOUSE","Atp5f1a"
"ATPB_MOUSE",2,1,0,8,3,20,"P56480","ATPB_MOUSE","Atp5f1b"
"ATX10_MOUSE",0,0,0,17,11,23,"P28658","ATX10_MOUSE","Atxn10"
"B3AT_MOUSE",0,0,0,9,6,0,"P04919","B3AT_MOUSE","Slc4a1"
"BAP31_MOUSE",0,0,0,1,1,3,"Q61335","BAP31_MOUSE","Bcap31"
"BASP1_MOUSE",0,5,1,6,0,0,"Q91XV3","BASP1_MOUSE","Basp1"
"BAX_MOUSE",0,0,0,0,1,1,"Q07813","BAX_MOUSE","Bax"
"BIN2_MOUSE",0,0,0,2,0,2,"D3Z6Q9","BIN2_MOUSE","Bin2"
"BZW1_MOUSE",0,0,0,3,1,3,"Q9CQC6","BZW1_MOUSE","Bzw1"
"C1QT1_MOUSE",0,0,0,2,1,0,"Q9QXP7","C1QT1_MOUSE","C1qtnf1"
"CAH2_MOUSE",0,0,0,11,5,12,"P00920","CAH2_MOUSE","Ca2"
"CALM1_MOUSE",0,0,3,11,1,4,"P0DP26","CALM1_MOUSE","Calm1"
"CALM2_MOUSE",0,0,3,11,1,4,"P0DP27","CALM2_MOUSE","Calm2"
"CALM3_MOUSE",0,0,3,11,1,4,"P0DP28","CALM3_MOUSE","Calm3"
"CALR_MOUSE",0,5,1,43,29,28,"P14211","CALR_MOUSE","Calr"
"CALU_MOUSE",0,4,0,10,3,12,"O35887","CALU_MOUSE","Calu"
"CALX_MOUSE",0,0,0,14,16,16,"P35564","CALX_MOUSE","Canx"
"CAN1_MOUSE",0,0,0,7,6,7,"O35350","CAN1_MOUSE","Capn1"
"CAND1_MOUSE",0,0,0,17,6,17,"Q6ZQ38","CAND1_MOUSE","Cand1"
"CAP1_MOUSE",1,0,0,10,9,16,"P40124","CAP1_MOUSE","Cap1"
"CAPG_MOUSE",0,0,0,5,2,7,"P24452","CAPG_MOUSE","Capg"
"CAPZB_MOUSE",0,0,0,5,3,8,"P47757","CAPZB_MOUSE","Capzb"
"CATB_MOUSE",0,0,0,3,0,7,"P10605","CATB_MOUSE","Ctsb"
