"x"
"DDR1"
"RFC2"
"AL590385.2"
"FCGR2C"
"FCGR2A"
"HSPA7"
"HSPA6"
"PAX8"
"GUCA1A"
"UBA7"
"MIR5193"
"THRA"
"PTPN21"
"CCL5"
"CYP2E1"
"EPHB3"
"ESRRA"
"ESRRAP1"
"CASC4P1"
"CYP2A7"
"CYP2A6"
"SCARB1"
"TTLL12"
"MIR4435-2HG"
"WFDC2"
"MAPK1"
"ADAM32"
"SPATA17"
"PRR22"
"DUS3L"
"PXK"
"VPS18"
"MSANTD3"
"SLC46A1"
"TIMD4"
"SLC39A5"
"ZDHHC11B"
"ZDHHC11"
"ATP6V1E2"
"AFG3L1P"
"CILP2"
"PIGX"
"TMEM196"
"SLC39A13"
"BEST4"
"AK9"
"CORO6"
"TMEM106A"
"ALG10"
"TTC39C"
"NEXN"
"C15orf40"
"RAX2"
"MFAP3"
"EYA3"
"GIMAP1"
"KLK8"
"CCDC65"
"FAM122C"
"CFAP53"
"ARMCX4"
"RBBP6"
"CENPBD1"
"TRIOBP"
"CATSPER1"
"HOXD4"
"MIR10B"
"GSC"
"SP7"
"PDE7A"
"CNOT7"
"CRYZL1"
"PRSS33"
"CBARP"
"MCMDC2"
"TIRAP"
"LEAP2"
"MSI2"
"SCIN"
"CTCFL"
"C4orf33"
"ZNF333"
"TVP23C"
"RDH10"
"SRSF12"
"ATF3"
"FAM71A"
"GAPT"
"SCUBE1"
"ERICH5"
"CCDC185"
"ENTHD1"
"TSSK3"
"WFDC6"
"EPPIN"
"HSPD1P21"
"CLEC12A"
"BRF1"
"TMEM266"
"BACH1"
"CALML6"
"NLRP5"
"ODF4"
"AC007395.1"
"CLEC4F"
"DEFB106B"
"DEFB106A"
"WFDC9"
"NEDD1"
"TTLL10"
"AC008764.1"
"CALR3"
"CEP164P1"
"ZNF22-AS1"
"ETV3"
"KLHL10"
"TM2D3"
"ZNF485"
"WDR17"
"MFSD6L"
"CDH23"
"ANKAR"
"MEGF11"
"AC026120.3"
"GPR182"
"ESX1"
"FAM167A-AS1"
"SCGB1C1"
"SCGB1C2"
"DNAJC5G"
"WDR88"
"PRUNE2"
"MBD3L2"
"MBD3L2B"
"MBD3L5"
"MBD3L3"
"MBD3L4"
"ADAMTSL1"
"MBD3L1"
"TENT5D"
"SERPINB11"
"LINC00161"
"DSCR10"
"ABHD11"
"ACAP2-IT1"
"ACAP2"
"GAMT"
"MIR6784"
"PLCD3"
"IRF6"
"PTPRC"
"MAN1A2"
"RAPH1"
"SMCR8"
"LACTB"
"BNC1"
"MPP4"
"AFG1L"
"IDI2"
"CYP11B1"
"TAF8"
"COBL"
"SLAMF6"
"ZSCAN20"
"GPBAR1"
"RHBDL2"
"FRAS1"
"BRSK1"
"CRB2"
"KCNE4"
"CD300LG"
"SLC34A3"
"CPA6"
"WBP2NL"
"HIPK1"
"MTBP"
"ACVR1C"
"TMEM74"
"TIGD4"
"ART5"
"FAM71C"
"LINC01547"
"NLRP11"
"ATP6V1C2"
"CLDN19"
"VTI1A"
"KIF6"
"IQCD"
"TAGAP"
"AL035530.1"
"STON2"
"SERPINA12"
"LETM2"
"BSND"
"CLEC4C"
"NLRC4"
"PRSS36"
"ZDHHC15"
"RAI1"
"CDK15"
"ZNF570"
"AF131215.2"
"AC270301.7"
"NUDT9P1"
"BTBD16"
"RTP3"
"TSPEAR"
"MIPOL1"
"C6orf141"
"ALMS1"
"ALMS1P1"
"MYO3B"
"ADAM21"
"TRIML2"
"ABCC13"
"IL12RB1"
"GTF2A1L"
"TRPV3"
"SPATA22"
"CNBD1"
"ABCC12"
"MMP21"
"TMEM190"
"GAS2L2"
"KCNG4"
"PXT1"
"CACNG5"
"AP000705.5"
"LINC00308"
"FAM223A"
"FAM223B"
"WFDC11"
"IFNL2"
"IFNL4P1"
"IFNL3"
"JAK1"
"CDC42SE2"
"ACACB"
"COP1"
"AL162431.1"
"STX6"
"ANLN"
"SPRR4"
"AC004980.4"
"AC006480.1"
"PMS2P3"
"POLR2J3"
"AC211429.1"
"POLR2J2"
"PMS2P4"
"AC017116.2"
"POLR2J4"
"AC211476.11"
"AC211424.1"
"AC091390.2"
"PMS2P9"
"AC005071.1"
"AC211476.2"
"AC211486.2"
"PMS2P11"
"AC211486.3"
"PMS2P5"
"AC007000.1"
"AC211476.6"
"AC211476.7"
"AC211486.5"
"AC091390.3"
"DTX2P1-UPK3BP1-PMS2P11"
"AC211476.1"
"AC114737.1"
"HSH2D"
"TRNT1"
"TMEM163"
"ARHGAP5"
"HERPUD2"
"JMJD6"
"AC005837.3"
"SRCAP"
"AC106886.6"
"MAP3K6"
"AC007780.1"
"ARSG"
"ZNF101"
"PTPN11"
"KLHDC7B"
"ATAD3A"
"ATAD3B"
"ZNF626"
"PHC3"
"IL11RA"
"AL162231.3"
"TNFRSF10A"
"AC004223.3"
"RFFL"
"HPS4"
"UHMK1"
"TXNDC2"
"NAV3"
"C5orf22"
